Date, Open, High, Low, Close
06/21/22, 3168.06, 3227.10, 3168.06, 3216.92
06/20/22, 3174.31, 3183.25, 3141.76, 3159.73
06/17/22, 3230.20, 3230.20, 3165.98, 3167.97
06/16/22, 3249.58, 3269.82, 3206.00, 3229.10
06/15/22, 3220.77, 3233.06, 3210.44, 3220.11
06/14/22, 3254.64, 3255.96, 3201.20, 3229.23
06/13/22, 3363.59, 3363.79, 3273.43, 3278.56
06/10/22, 3409.81, 3410.94, 3375.57, 3378.13
06/09/22, 3433.21, 3445.17, 3426.03, 3427.40
06/08/22, 3432.89, 3461.03, 3432.01, 3445.53
06/07/22, 3449.64, 3449.68, 3410.10, 3424.93
06/06/22, 3418.33, 3460.31, 3416.83, 3452.80
06/03/22, 3452.12, 3453.57, 3430.67, 3432.60
06/02/22, 3440.85, 3444.07, 3405.39, 3430.24
06/01/22, 3451.90, 3466.31, 3445.29, 3451.12
05/31/22, 3453.28, 3463.56, 3439.75, 3449.77
05/30/22, 3397.70, 3467.73, 3397.70, 3457.96
05/27/22, 3352.55, 3396.52, 3352.46, 3386.92
05/26/22, 3352.63, 3363.99, 3327.05, 3337.71
05/25/22, 3343.97, 3367.83, 3336.98, 3346.44
05/24/22, 3358.52, 3361.19, 3324.62, 3342.69
05/23/22, 3366.44, 3374.23, 3345.02, 3359.18
05/20/22, 3300.90, 3355.53, 3297.92, 3350.03
05/19/22, 3345.94, 3346.81, 3259.21, 3298.24
05/18/22, 3338.37, 3356.37, 3326.46, 3351.87
05/17/22, 3291.92, 3332.50, 3286.61, 3326.62
05/16/22, 3288.85, 3302.56, 3268.81, 3280.68
05/13/22, 3210.74, 3283.38, 3210.74, 3274.17
05/12/22, 3241.57, 3243.02, 3192.25, 3209.82
05/11/22, 3247.31, 3267.34, 3238.62, 3250.30
05/10/22, 3289.04, 3289.04, 3216.50, 3255.02
05/09/22, 3329.94, 3332.18, 3290.54, 3297.53
05/06/22, 3389.01, 3389.01, 3336.57, 3347.65
05/05/22, 3414.73, 3440.21, 3379.91, 3386.39
